DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Gender,Female,42600,1880,305
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Gender,Male,50800,1998,338
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Gender,Female,46200,1800,286
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Gender,Male,54300,1996,327
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,Gender,Female,52400,1877,275
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,Gender,Male,58800,1993.5,308
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,10,Gender,Female,55900,1823,236
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,10,Gender,Male,68400,2010,231
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,11,Gender,Female,62700,1880,177
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,11,Gender,Male,73100,1985,177
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,12,Gender,Female,62000,1813,127
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,12,Gender,Male,79100,2009,100
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,13,Gender,Female,53100,1799,64
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,13,Gender,Male,73500,1967,49
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,7,Gender,Female,43300,1911,165
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,7,Gender,Male,46800,1907,165
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,8,Gender,Female,49100,2016,137
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,8,Gender,Male,52300,1950,133
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,9,Gender,Female,48100,1900,135
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,9,Gender,Male,54900,1969,107
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,10,Gender,Female,57300,1916,109
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,10,Gender,Male,65000,1998,83
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,11,Gender,Female,55900,1882,92
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,11,Gender,Male,73000,1996,62
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,12,Gender,Female,62100,1985,55
School Dist,Bellevue School District,Interlake Sr. High School,Bachelor's or Higher,12,Gender,Male,72200,1947,42
School Dist,Bellevue School District,International School,Bachelor's or Higher,7,Gender,Female,49100,1892,83
School Dist,Bellevue School District,International School,Bachelor's or Higher,7,Gender,Male,57600,1994,66
School Dist,Bellevue School District,International School,Bachelor's or Higher,8,Gender,Female,48900,2066,64
School Dist,Bellevue School District,International School,Bachelor's or Higher,8,Gender,Male,52800,1913.5,58
School Dist,Bellevue School District,International School,Bachelor's or Higher,9,Gender,Female,52800,1941.5,64
School Dist,Bellevue School District,International School,Bachelor's or Higher,9,Gender,Male,63100,2080,50
School Dist,Bellevue School District,International School,Bachelor's or Higher,10,Gender,Female,56100,1934.5,54
School Dist,Bellevue School District,International School,Bachelor's or Higher,10,Gender,Male,69400,2034,40
School Dist,Bellevue School District,International School,Bachelor's or Higher,11,Gender,Female,49500,1796,46
School Dist,Bellevue School District,International School,Bachelor's or Higher,11,Gender,Male,76200,1948.5,30
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,7,Gender,Female,46300,1893,411
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,7,Gender,Male,49300,1970,346
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,8,Gender,Female,52300,1920,378
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,8,Gender,Male,52200,1925.5,334
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,9,Gender,Female,53400,1892,339
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,9,Gender,Male,59200,1954,323
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,10,Gender,Female,55300,1900.5,264
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,10,Gender,Male,61800,1978,258
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,11,Gender,Female,59800,1923,193
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,11,Gender,Male,70700,2008,179
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,12,Gender,Female,65400,1976,127
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,12,Gender,Male,89600,2006,118
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,13,Gender,Female,66100,1921,55
School Dist,Bellevue School District,Newport Senior High School,Bachelor's or Higher,13,Gender,Male,85800,1885,41
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,7,Gender,Female,43200,1912,241
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,7,Gender,Male,47300,1957,189
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,8,Gender,Female,47400,1928,225
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,8,Gender,Male,54700,1980,170
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,9,Gender,Female,47800,1963,215
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,9,Gender,Male,58300,1959,167
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,10,Gender,Female,51900,1910,174
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,10,Gender,Male,60200,1966,128
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,11,Gender,Female,53700,1831,132
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,11,Gender,Male,67100,2038,105
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,12,Gender,Female,65400,1816,79
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,12,Gender,Male,70200,2033,74
School Dist,Bellevue School District,Sammamish Sr. High,Bachelor's or Higher,13,Gender,Female,57100,1877,41
