Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2018-2019,73342329,BEIS MEDRASH HEICHAL DOVID,0.00,0,100,100,100,100,257 BEACH 17TH ST.,FAR ROCKAWAY,NY,11691,"257 BEACH 17TH ST.
FAR ROCKAWAY, NY 11691
(40.59639144500005, -73.75124747499996)"
2018-2019,74341265,PLAZA COLLEGE,0.00,0,100,100,100,100,74-09 37TH AVE,JACKSON HEIGHTS,NY,11372,"74-09 37TH AVE
JACKSON HEIGHTS, NY 11372
(40.74902318900007, -73.89142527399997)"
2018-2019,73342330,RABBINICAL SEMINARY OF AMERICA,0.00,0.23,93.3,93.3,93.3,93.3,76-01 147TH ST.,FLUSHING,NY,11367,"76-01 147TH ST.
FLUSHING, NY 11367
(40.72320000000008, -73.81721249999998)"
2018-2019,73352270,WAGNER COLLEGE,0.10,0.1,99.8,99.8,99.8,99.8,631 HOWARD AVE,STATEN ISLAND,NY,10301,"631 HOWARD AVE
STATEN ISLAND, NY 10301
(40.616556994000064, -74.09429173199999)"
2018-2019,73342333,YESHIVA ZICHRON ARYEH,0.00,0,100,100,100,100,1213 BAY 25TH STREET,FAR ROCKAWAY,NY,11691,"1213 BAY 25TH STREET
FAR ROCKAWAY, NY 11691
(40.60593015000006, -73.76403192299995)"
2018-2019,77312202,PACE UNIVERSITY,0.06,0.33,98.7,98.9,98.9,98.7,861 BEDFORD RD,PLEASANTVILLE,NY,10570,"861 BEDFORD RD
PLEASANTVILLE, NY 10570
(41.12452205900007, -73.80660358399996)"
2018-2019,74312202,LIM COLLEGE,0.00,0.37,99.6,99.6,99.6,99.6,216 EAST 45TH ST,NEW YORK,NY,10017,"216 EAST 45TH ST
NEW YORK, NY 10017
(40.75225572000005, -73.97207458799994)"
2018-2019,74312221,SCHOOL OF VISUAL ARTS,0.02,0.14,99.8,99.8,99.8,99.8,209 E 23RD ST,NEW YORK,NY,10010,"209 E 23RD ST
NEW YORK, NY 10010
(40.738532887000076, -73.98237094999996)"
2018-2019,74311175,MANHATTAN INSTITUTE OF MANAGEMENT,0.00,0,100,100,100,100,"25 BROADWAY, 7TH FLOOR",NEW YORK,NY,10004,"25 BROADWAY, 7TH FLOOR
NEW YORK, NY 10004
(40.70535487500007, -74.01370959399998)"
2018-2019,73342260,VAUGHN COLLEGE OF AERONAUTICS & TECHNOLO,0.00,0.07,96.4,99.8,99.8,96.3,86-01 23RD AVE,FLUSHING,NY,11369,"86-01 23RD AVE
FLUSHING, NY 11369
(40.76729600700003, -73.88331418399997)"
2018-2019,73342332,YESHIVA SHAAR HATORAH-GRODNO,0.00,0,94.5,94.5,94.5,94.5,83-96 117TH ST.,KEW GARDENS,NY,11415,"83-96 117TH ST.
KEW GARDENS, NY 11415
(40.703936716000044, -73.83484506599996)"
2018-2019,74312222,MANDL SCHOOL - THE COLLEGE OF ALLIED HEA,0.00,0,97.2,97,97,97,254 W. 54TH ST,NEW YORK,NY,10019,"254 W. 54TH ST
NEW YORK, NY 10019
(40.76434800000004, -73.98377999999997)"
2018-2019,74311174,BERKELEY COLLEGE,0.18,0.07,99.5,99.7,99.7,99.5,3 E 43RD ST,NEW YORK,NY,10017,"3 E 43RD ST
NEW YORK, NY 10017
(40.753824370000075, -73.97953699299995)"
2018-2019,73342331,DERECH AYSON RABBINICAL SEMINARY,0.00,0,100,100,100,100,802 HICKSVILLE ROAD,FAR ROCKAWAY,NY,11691,"802 HICKSVILLE ROAD
FAR ROCKAWAY, NY 11691
(40.60023201400003, -73.74386325399996)"
2018-2019,23421063,POMEROY COLLEGE OF NURSING,0.00,0.42,99.6,99.6,99.6,99.6,765 IRVING AVE,SYRACUSE,NY,13210,"765 IRVING AVE
SYRACUSE, NY 13210
(43.04018420300008, -76.13789093299994)"
2018-2019,53502145,YESHIVA D'MONSEY RABBINICAL COLLEGE,0.00,2.99,92.5,92.5,92.5,92.5,2 ROMAN BOULEVARD,MONSEY,NY,10952,"2 ROMAN BOULEVARD
MONSEY, NY 10952
(41.115440345000025, -74.06599322899996)"
2018-2019,34261092,BRYANT & STRATTON COLLEGE - GREECE CAMPU,0.00,0,99.5,99.5,99.5,99.5,150 BELLWOOD DR,ROCHESTER,NY,14606,"150 BELLWOOD DR
ROCHESTER, NY 14606
(43.18465500000008, -77.68728899999996)"
2018-2019,73313205,COLUMBIA UNIVER - HEALTH SCIENCES CAMPUS,0.00,0,99.9,100,100,99.9,60 HAVEN AVE,NEW YORK,NY,10032,"60 HAVEN AVE
NEW YORK, NY 10032
(40.84348299900006, -73.94287142699994)"
2018-2019,73312204,MANHATTAN SCHOOL OF MUSIC,0.00,0.3,99.7,99.7,99.7,99.7,120 CLAREMONT AVE,NEW YORK,NY,10027,"120 CLAREMONT AVE
NEW YORK, NY 10027
(40.812566815000025, -73.96183321299998)"
2018-2019,11012011,MEMORIAL SCHOOL OF NURSING,0.00,0,100,100,100,100,600 NORTHERN BOULEVARD,ALBANY,NY,12204,"600 NORTHERN BOULEVARD
ALBANY, NY 12204
(42.67453354600008, -73.74908860599999)"
2018-2019,33262095,NAZARETH COLLEGE OF ROCHESTER,0.00,0.17,99.5,99.5,99.5,98.7,4245 EAST AVE,ROCHESTER,NY,14618,"4245 EAST AVE
ROCHESTER, NY 14618
(43.102774682000074, -77.51466983699999)"
2018-2019,63282271,ADELPHI UNIVERSITY,0.12,0.07,99.6,99.6,99.6,99.6,ONE SOUTH AVENUE,GARDEN CITY,NY,11530,"ONE SOUTH AVENUE
GARDEN CITY, NY 11530
(40.72277450100006, -73.65384391299995)"
2018-2019,43141124,HILBERT COLLEGE,0.14,0.14,99.7,99.7,99.7,99.7,5200 SOUTH PARK AVE,HAMBURG,NY,14075,"5200 SOUTH PARK AVE
HAMBURG, NY 14075
(42.75482685000003, -78.82457967899995)"
